afterHoursDistance,afterHoursDrivingDuration,afterHoursEnd,afterHoursStart,afterHoursStopDuration,averageSpeed,distance,drivingDuration,idlingDuration,isSeatBeltOff,maximumSpeed,nextTripStart,speedRange1,speedRange1Duration,speedRange2,speedRange2Duration,speedRange3,speedRange3Duration,start,stop,stopDuration,workDistance,workDrivingDuration,workStopDuration,id,engineHours,vehicle_id,trip_id
1.7485831,332,true,true,65025,18.907177,1.7485831,332,11,false,57,2019-11-16 18:16:02.063000+00:00,0,0,0,0,0,0,2019-11-16 00:06:44.063000+00:00,2019-11-16 00:12:17+00:00,65025,0,0,0,b903317B,null,2b2f,07319b3b
12.249844,1113,true,true,63319,39.588806,12.249844,1113,2027,false,120,2019-11-16 17:47:38+00:00,0,0,0,0,0,0,2019-11-15 23:53:45.063000+00:00,2019-11-16 00:12:19+00:00,63319,0,0,0,b94578E0,null,011b7,b85e0479
0.95337397,259,true,true,181,13.207014,0.95337397,259,7,false,33,2019-11-16 00:15:24.063000+00:00,0,0,0,0,0,0,2019-11-16 00:08:03.127000+00:00,2019-11-16 00:12:23+00:00,181,0,0,0,b9465FE2,null,68b9,5b4fe269
0.2682006,80,true,true,2395,12.05938,0.2682006,80,0,false,28,2019-11-16 00:52:39.062000+00:00,0,0,0,0,0,0,2019-11-16 00:11:23.063000+00:00,2019-11-16 00:12:43.127000+00:00,2395,0,0,0,b9115A7D,null,b648,9a7db115
2.5367115,301,true,true,49000,30.245255,2.5367115,301,7,false,61,2019-11-16 13:50:03.062000+00:00,0,0,0,0,0,0,2019-11-16 00:08:21.063000+00:00,2019-11-16 00:13:23+00:00,49000,0,0,0,b9030BD3,null,314bf,b003b9d3
4.4615216,465,true,true,4279,34.47135,4.4615216,465,1,false,66,2019-11-17 19:24:56.126000+00:00,0,0,0,0,0,0,2019-11-16 00:05:51.063000+00:00,2019-11-16 00:13:37+00:00,4279,0,0,0,b903AA11,null,193b,19ab01a3
42.07202,1948,true,true,72985,77.71379,42.07202,1948,87,false,114,2019-11-16 20:30:12.063000+00:00,0,0,0,0,0,0,2019-11-15 23:41:18.063000+00:00,2019-11-16 00:13:47+00:00,72985,0,0,0,b9319114,null,bb59,411931b9
35.28791,1682,true,true,2272,75.484985,35.28791,1682,2,false,114,2019-11-16 00:52:01.063000+00:00,1,19,0,0,0,0,2019-11-15 23:46:06.063000+00:00,2019-11-16 00:14:09+00:00,2272,0,0,0,b9201201,null,671b4,1002b129
0.11994495,68,true,true,2066,6.2637167,0.11994495,68,216,false,20,2019-11-16 00:48:57.063000+00:00,0,0,0,0,0,0,2019-11-16 00:13:22.063000+00:00,2019-11-16 00:14:31+00:00,2066,0,0,0,b930EA86,null,4b47,0be36a98
4.013482,362,true,true,30,39.906025,4.013482,362,0,false,65,2019-11-16 00:15:42.063000+00:00,0,0,0,0,0,0,2019-11-16 00:09:09.063000+00:00,2019-11-16 00:15:11.127000+00:00,30,0,0,0,b945E388,null,0eb,4b5e8839
0.033244945,65,true,true,102,1.8412585,0.033244945,65,8,false,7,2019-11-16 00:17:45.063000+00:00,0,0,0,0,0,0,2019-11-16 00:14:58+00:00,2019-11-16 00:16:03+00:00,102,0,0,0,b902CD71,null,bad2,2b0c1d97
18.187527,1151,true,true,6355,56.83913,18.187527,1151,1046,false,116,2019-11-16 02:02:09+00:00,0,0,0,0,0,0,2019-11-15 23:57:02.063000+00:00,2019-11-16 00:16:14+00:00,6355,0,0,0,b9470ABA,null,62b4,baa9b740
5.398014,678,true,true,876,28.622465,5.398014,678,6,false,66,2019-11-16 00:30:50.127000+00:00,0,0,0,0,0,0,2019-11-16 00:04:55.063000+00:00,2019-11-16 00:16:14+00:00,876,0,0,0,b902D051,null,235b,59bd2001
